Weight,Word_1,Part_1,Word_2,Part_2
489637,Ich,Pronomen,я,местоимение
475043,ist,Verb,является,глагол
440346,ich,Pronomen,я,местоимение
422376,nicht,Partikel,не,частица
366870,Sie,Pronomen,Она,местоимение
342560,du,Pronomen,ты,местоимение
326943,das,Artikel,то,артикль
326305,die,Artikel,та,артикль
261560,es,Pronomen,оно,местоимение
255151,und,Konjunktion,и,союз
235950,der,Artikel,тот,артикль
229130,zu,Präposition,к,предлог
199371,sie,Pronomen,она,местоимение
188472,Das,Artikel,это,артикль
185794,ein,Artikel,один,числительное
182149,in,Präposition,в,предлог
166009,wir,Pronomen,мы,местоимение
163662,Du,Pronomen,Ты,местоимение
158541,mir,Pronomen,мне,местоимение
152783,mit,Präposition,с,предлог
146767,Was,Pronomen,Что,местоимение
145530,den,Artikel,тот,артикль
142969,mich,Pronomen,меня,местоимение
133700,was,Pronomen,что,местоимение
131482,auf,Präposition,на,предлог
123254,dass,Subjunktion,что,подчинительный союз
121771,er,Pronomen,он,местоимение
118709,eine,Artikel,одна,артикль
115624,Es,Pronomen,Оно,местоимение
114762,hat,Verb,имеет,глагол
114117,Wir,Pronomen,Мы,местоимение
111846,Und,Konjunktion,И,союз
110711,so,Adverb,так,наречие
109934,sind,Verb,являются,глагол
109563,von,Präposition,от,предлог
109070,dich,Pronomen,тебя,местоимение
106863,war,Verb,был,глагол
106711,haben,Verb,иметь,глагол
106195,für,Präposition,для,предлог
105501,Ja,Partikel,Да,частица
103938,hier,Adverb,здесь,наречие
98024,an,Präposition,к,предлог
93527,habe,Verb,иметь,глагол
92812,Er,Pronomen,Он,местоимение
91315,bin,Verb,являюсь,глагол
91198,wie,Adverb,как,наречие
86716,noch,Adverb,ещё,частица
85986,dir,Pronomen,тебе,местоимение
83376,uns,Pronomen,нас,местоимение
83233,sich,Pronomen,себя,возвратное местоимение
82693,Die,Artikel,Эти,артикль
80748,nur,Adverb,только,частица
79612,einen,Artikel,один,числительное
77019,Nein,Partikel,Нет,частица
74981,dem,Artikel,тому,артикль
69593,ihn,Pronomen,его,местоимение
69295,auch,Adverb,тоже,наречие
68990,hast,Verb,имеешь,глагол
68312,sein,Verb,быть,глагол
67939,ihr,Pronomen,ей,местоимение
67905,da,Adverb,там,наречие
67378,aus,Präposition,из,предлог
67376,kann,Verb,может,глагол
